Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Antonio María                ,mx MEX  ,DL      ,Querétaro   ,20-227  ,2004       , 1 ,      1 ,  59.0 , 0.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ricardo Marín                ,mx MEX  ,"DL,CC" ,Guadalajara ,26-252  ,1998       ,13 ,      5 , 565.0 , 6.3 , 3.0 ,0.48 ,1.0 , 0 , 0 , 0
Salvador Mariscal            ,mx MEX  ,"CC,DF" ,Santos      ,21-217  ,2003       ,15 ,     12 ,1082.0 ,12.0 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Ángel Márquez                ,mx MEX  ,CC      ,Atlas       ,24-157  ,2000       ,17 ,     16 ,1312.0 ,14.6 , 3.0 ,0.21 ,1.0 , 0 , 3 , 0
Henry Martín                 ,mx MEX  ,DL      ,América     ,32-007  ,1992       ,17 ,     14 ,1271.0 ,14.1 , 8.0 ,0.57 ,6.0 , 0 , 0 , 0
Guillermo Martínez Ayala     ,mx MEX  ,DL      ,UNAM        ,29-255  ,1995       ,17 ,     11 , 943.0 ,10.5 , 4.0 ,0.38 ,1.0 , 1 , 2 , 0
Gabriel Martínez             ,mx MEX  ,DF      ,Atlético    ,22-124  ,2002       , 2 ,      0 ,   9.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Emilio Martínez González     ,mx MEX  ,DF      ,Necaxa      ,21-297  ,2003       ,11 ,     10 , 789.0 , 8.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Alejandro Mayorga            ,mx MEX  ,DF      ,Necaxa      ,27-180  ,1997       ,15 ,     12 ,1026.0 ,11.4 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Alan Medina                  ,mx MEX  ,"CC,DF" ,Querétaro   ,27-098  ,1997       ,14 ,      6 , 547.0 , 6.1 , 0.0 ,0.00 ,2.0 , 0 , 0 , 0
Alan Medina                  ,uy URU  ,"CC,DL" ,León        ,26-229  ,1998       , 4 ,      3 , 220.0 , 2.4 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Diego Medina                 ,mx MEX  ,"DL,DF" ,Santos      ,23-258  ,2001       , 7 ,      6 , 475.0 , 5.3 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Stefan Medina                ,co COL  ,DF      ,Monterrey   ,32-164  ,1992       ,14 ,     13 ,1158.0 ,12.9 , 0.0 ,0.00 ,1.0 , 0 , 3 , 0
Aaron Mejía Montoya          ,mx MEX  ,"DF,CC" ,Tijuana     ,23-172  ,2001       ,17 ,     11 ,1165.0 ,12.9 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Ángel Mena                   ,ec ECU  ,"CC,DL" ,Pachuca     ,36-309  ,1988       , 5 ,      1 , 175.0 , 1.9 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Alex Mendez                  ,us USA  ,"DL,CC" ,FC Juárez   ,24-080  ,2000       , 3 ,      0 ,  25.0 , 0.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Bruno Méndez                 ,uy URU  ,DF      ,Toluca      ,25-076  ,1999       ,10 ,      7 , 682.0 , 7.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 1
Stiven Mendoza               ,co COL  ,"CC,DL" ,León        ,32-151  ,1992       ,12 ,     11 , 953.0 ,10.6 , 4.0 ,0.38 ,0.0 , 0 , 4 , 1
Jean Meneses                 ,cl CHI  ,DL      ,Toluca      ,31-254  ,1993       , 4 ,      3 , 249.0 , 2.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Roberto Meraz                ,mx MEX  ,CC      ,Mazatlán    ,25-113  ,1999       ,15 ,     15 ,1269.0 ,14.1 , 0.0 ,0.00 ,1.0 , 0 , 5 , 0
Lucas Merolla                ,ar ARG  ,DF      ,Mazatlán    ,29-151  ,1995       , 7 ,      7 , 478.0 , 5.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Maximiliano Meza             ,ar ARG  ,"CC,DL" ,Monterrey   ,31-346  ,1992       , 3 ,      3 , 199.0 , 2.2 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Andrés Micolta               ,ec ECU  ,DF      ,Pachuca     ,25-172  ,1999       , 4 ,      3 , 292.0 , 3.2 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Kevin Mier                   ,co COL  ,PO      ,Cruz Azul   ,24-191  ,2000       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Fernando Monárrez            ,mx MEX  ,"DF,CC" ,Tijuana     ,25-126  ,1999       , 2 ,      0 ,  55.0 , 0.6 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Ricardo Monreal              ,mx MEX  ,"DL,CC" ,Necaxa      ,23-289  ,2001       ,17 ,     10 , 796.0 , 8.8 , 1.0 ,0.11 ,0.0 , 0 , 2 , 0
Pablo Monroy                 ,mx MEX  ,DF      ,UNAM        ,22-126  ,2002       , 7 ,      3 , 243.0 , 2.7 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Andres Montaño               ,mx MEX  ,"CC,DL" ,Cruz Azul   ,22-187  ,2002       ,15 ,      3 , 381.0 , 4.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Alán Montes                  ,mx MEX  ,DF      ,Necaxa      ,24-030  ,2000       ,15 ,     13 ,1211.0 ,13.5 , 1.0 ,0.07 ,0.0 , 0 , 6 , 0
Elias Montiel                ,mx MEX  ,CC      ,Pachuca     ,19-049  ,2005       ,13 ,     13 ,1157.0 ,12.9 , 1.0 ,0.08 ,1.0 , 0 , 1 , 0
Adrián Mora                  ,mx MEX  ,DF      ,Atlas       ,27-102  ,1997       ,11 ,      6 , 591.0 , 6.6 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Gilberto Mora                ,mx MEX  ,"DL,CC" ,Tijuana     ,16-042  ,2008       ,12 ,      4 , 530.0 , 5.9 , 1.0 ,0.17 ,1.0 , 0 , 1 , 0
Amaury Morales               ,mx MEX  ,"CC,DL" ,Cruz Azul   ,18-358  ,2005       ,10 ,      1 , 191.0 , 2.1 , 1.0 ,0.47 ,0.0 , 0 , 1 , 0
Robert Morales               ,py PAR  ,DL      ,Toluca      ,25-253  ,1999       , 3 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Carlos Moreno                ,mx MEX  ,PO      ,Pachuca     ,26-301  ,1998       ,15 ,     15 ,1350.0 ,15.0 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Héctor Moreno                ,mx MEX  ,DF      ,Monterrey   ,36-313  ,1988       ,13 ,     10 , 929.0 ,10.3 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Iker Moreno                  ,mx MEX  ,DF      ,Atlético    ,21-072  ,2003       , 7 ,      2 , 174.0 , 1.9 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Iván Moreno                  ,mx MEX  ,"DF,CC" ,León        ,26-313  ,1998       , 7 ,      6 , 502.0 , 5.6 , 2.0 ,0.36 ,1.0 , 0 , 2 , 0
Omar Moreno                  ,mx MEX  ,CC      ,Mazatlán    ,19-300  ,2005       , 2 ,      0 ,  36.0 , 0.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Alan Mozo                    ,mx MEX  ,DF      ,Guadalajara ,27-234  ,1997       ,17 ,     16 ,1444.0 ,16.0 , 2.0 ,0.12 ,1.0 , 0 , 1 , 0
Guillermo Muñoz              ,mx MEX  ,CC      ,Santos      ,20-056  ,2004       , 3 ,      0 ,  53.0 , 0.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Santiago Muñóz               ,mx MEX  ,"DL,CC" ,Santos      ,22-103  ,2002       ,15 ,      7 , 649.0 , 7.2 , 2.0 ,0.28 ,0.0 , 1 , 0 , 0
Jhon Murillo                 ,ve VEN  ,"DL,DF" ,Atlas       ,29-004  ,1995       ,17 ,     13 ,1261.0 ,14.0 , 2.0 ,0.14 ,2.0 , 0 , 1 , 0
Luis Nájera                  ,mx MEX  ,"CC,DL" ,Atlético    ,21-275  ,2003       ,15 ,     11 , 910.0 ,10.1 , 3.0 ,0.30 ,4.0 , 0 , 0 , 0
Gonzalo Nápoli               ,uy URU  ,"CC,DL" ,León        ,24-201  ,2000       , 3 ,      0 ,  10.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Luis Navarrete               ,mx MEX  ,CC      ,Toluca      ,18-094  ,2006       , 1 ,      0 ,   6.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Santiago Naveda              ,mx MEX  ,CC      ,Santos      ,23-223  ,2001       ,11 ,     10 , 835.0 , 9.3 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Hugo Nervo                   ,ar ARG  ,DF      ,Atlas       ,33-324  ,1991       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Santiago Núñez               ,ar ARG  ,DF      ,Santos      ,24-210  ,2000       , 9 ,      8 , 701.0 , 7.8 , 0.0 ,0.00 ,0.0 , 0 , 3 , 1
Lucas Ocampos                ,ar ARG  ,"DL,CC" ,Monterrey   ,30-137  ,1994       ,10 ,      8 , 736.0 , 8.2 , 1.0 ,0.12 ,4.0 , 1 , 0 , 1
Agustín Oliveros             ,uy URU  ,DF      ,Necaxa      ,26-100  ,1998       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Sebastián Olmedo             ,py PAR  ,DF      ,Puebla      ,23-157  ,2001       , 7 ,      6 , 461.0 , 5.1 , 0.0 ,0.00 ,0.0 , 0 , 3 , 1
Santiago Ormeño              ,pe PER  ,DL      ,Puebla      ,30-295  ,1994       , 9 ,      5 , 482.0 , 5.4 , 2.0 ,0.37 ,1.0 , 1 , 0 , 0
Efraín Orona                 ,mx MEX  ,DF      ,Puebla      ,25-277  ,1999       ,17 ,     14 ,1311.0 ,14.6 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Jesús Orozco                 ,mx MEX  ,DF      ,Guadalajara ,22-280  ,2002       ,15 ,     15 ,1269.0 ,14.1 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Ralph Orquin                 ,us USA  ,DF      ,FC Juárez   ,21-224  ,2003       ,17 ,     17 ,1406.0 ,15.6 , 0.0 ,0.00 ,4.0 , 0 , 2 , 0
Carlos Orrantía              ,mx MEX  ,DF      ,Toluca      ,33-298  ,1991       , 4 ,      2 , 192.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Haret Ortega                 ,mx MEX  ,"DF,CC" ,FC Juárez   ,24-190  ,2000       , 9 ,      6 , 625.0 , 6.9 , 1.0 ,0.14 ,0.0 , 0 , 4 , 0
Kevin Ortega                 ,mx MEX  ,CC      ,Atlético    ,22-326  ,2002       , 3 ,      0 ,   8.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Pablo Ortiz                  ,mx MEX  ,DF      ,Querétaro   ,22-234  ,2002       , 9 ,      5 , 469.0 , 5.2 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Youssef Ortiz                ,mx MEX  ,DF      ,León        ,18-020  ,2006       , 1 ,      0 ,   5.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Juan Pablo Vigón             ,mx MEX  ,CC      ,UANL        ,33-128  ,1991       ,11 ,      1 , 246.0 , 2.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jose Pachuca                 ,mx MEX  ,DF      ,Puebla      ,19-124  ,2005       ,11 ,      5 , 506.0 , 5.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jonathan Padilla             ,mx MEX  ,"CC,DL" ,Guadalajara ,18-342  ,2005       , 9 ,      3 , 370.0 , 4.1 , 2.0 ,0.49 ,2.0 , 0 , 0 , 0
Agustín Palavecino           ,ar ARG  ,CC      ,Necaxa      ,28-016  ,1996       ,17 ,     17 ,1465.0 ,16.3 , 4.0 ,0.25 ,2.0 , 0 , 3 , 0
José Paradela                ,ar ARG  ,CC      ,Necaxa      ,25-346  ,1998       ,17 ,     17 ,1375.0 ,15.3 , 3.0 ,0.20 ,5.0 , 3 , 3 , 0
Paulinho                     ,pt POR  ,DL      ,Toluca      ,32-016  ,1992       ,17 ,     16 ,1431.0 ,15.9 ,13.0 ,0.82 ,5.0 , 0 , 2 , 0
Pedro Pedraza                ,mx MEX  ,CC      ,Pachuca     ,24-209  ,2000       ,15 ,     11 , 885.0 , 9.8 , 0.0 ,0.00 ,0.0 , 0 , 5 , 0
Federico Pereira             ,uy URU  ,DF      ,Toluca      ,24-275  ,2000       ,10 ,     10 , 900.0 ,10.0 , 1.0 ,0.10 ,0.0 , 0 , 2 , 0
Aldahir Perez                ,mx MEX  ,CC      ,Querétaro   ,20-052  ,2004       , 3 ,      1 ,  92.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Sebastián Pérez Bouquet      ,mx MEX  ,"CC,DL" ,FC Juárez   ,21-156  ,2003       , 3 ,      0 ,  33.0 , 0.4 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Jonathan Pérez               ,mx MEX  ,DF      ,Santos      ,19-029  ,2005       ,10 ,      8 , 714.0 , 7.9 , 1.0 ,0.13 ,0.0 , 0 , 3 , 0
Pavel Pérez                  ,mx MEX  ,"CC,DL" ,Guadalajara ,26-152  ,1998       , 6 ,      1 , 144.0 , 1.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jonathan Perlaza             ,ec ECU  ,DF      ,Querétaro   ,27-073  ,1997       , 4 ,      2 , 202.0 , 2.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Yan Phillipe                 ,br BRA  ,"DL,CC" ,Atlético    ,20-192  ,2004       ,13 ,      6 , 503.0 , 5.6 , 2.0 ,0.36 ,0.0 , 0 , 1 , 0
Cristiano Piccini            ,it ITA  ,DF      ,Atlético    ,32-060  ,1992       , 2 ,      2 , 127.0 , 1.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Piñuelas               ,mx MEX  ,CC      ,Toluca      ,26-243  ,1998       , 1 ,      0 ,   1.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Gonzalo Piovi                ,ar ARG  ,DF      ,Cruz Azul   ,30-078  ,1994       ,15 ,     14 ,1287.0 ,14.3 , 0.0 ,0.00 ,3.0 , 0 , 5 , 1
Guido Pizarro                ,ar ARG  ,"DF,CC" ,UANL        ,34-273  ,1990       ,16 ,     16 ,1440.0 ,16.0 , 1.0 ,0.06 ,0.0 , 0 , 3 , 0
Rodolfo Pizarro              ,mx MEX  ,"CC,DL" ,Mazatlán    ,30-284  ,1994       , 7 ,      4 , 395.0 , 4.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Osvaldo Rodríguez del Portal ,mx MEX  ,"DF,DL" ,UANL        ,28-076  ,1996       , 3 ,      2 , 127.0 , 1.4 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Osvaldo Rodríguez del Portal ,mx MEX  ,"DL,DF" ,León        ,28-076  ,1996       , 2 ,      0 ,  11.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ayrton Preciado              ,ec ECU  ,"CC,DF" ,Querétaro   ,30-131  ,1994       , 5 ,      1 , 132.0 , 1.5 , 1.0 ,0.68 ,0.0 , 0 , 2 , 1
Ronaldo Prieto               ,mx MEX  ,DF      ,Santos      ,27-267  ,1997       , 1 ,      1 ,  70.0 , 0.8 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Luis Puente                  ,mx MEX  ,DL      ,Pachuca     ,21-286  ,2003       , 2 ,      2 ,  98.0 , 1.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ignacio Pussetto             ,ar ARG  ,"CC,DL" ,UNAM        ,28-340  ,1995       ,12 ,      4 , 537.0 , 6.0 , 2.0 ,0.34 ,1.0 , 0 , 0 , 0
Piero Quispe                 ,pe PER  ,CC      ,UNAM        ,23-103  ,2001       ,15 ,     12 ,1115.0 ,12.4 , 2.0 ,0.16 ,1.0 , 0 , 2 , 0
Héctor Ramírez               ,mx MEX  ,DF      ,UNAM        ,20-308  ,2004       , 2 ,      2 , 114.0 , 1.3 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Miguel Ramírez               ,us USA  ,DL      ,América     ,22-148  ,2002       , 1 ,      0 ,  22.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Paulo Ramírez                ,mx MEX  ,CC      ,Atlas       ,22-040  ,2002       , 5 ,      1 , 189.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
José Rangel Aguilar          ,mx MEX  ,PO      ,Guadalajara ,24-274  ,2000       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Luis Rey                     ,mx MEX  ,DF      ,Guadalajara ,22-072  ,2002       , 6 ,      4 , 342.0 , 3.8 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Cristian Reyes               ,mx MEX  ,"CC,DL" ,Monterrey   ,18-229  ,2006       , 2 ,      0 ,  20.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Diego Reyes                  ,mx MEX  ,CC      ,América     ,17-083  ,2007       , 2 ,      0 ,   3.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Diego Reyes                  ,mx MEX  ,DF      ,UANL        ,32-067  ,1992       ,14 ,      9 , 889.0 , 9.9 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Israel Reyes                 ,mx MEX  ,DF      ,América     ,24-186  ,2000       ,13 ,     10 , 955.0 ,10.6 , 1.0 ,0.09 ,0.0 , 0 , 2 , 0
Salvador Reyes               ,mx MEX  ,DF      ,León        ,26-205  ,1998       ,17 ,     17 ,1495.0 ,16.6 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Emanuel Reynoso              ,ar ARG  ,"CC,DL" ,Tijuana     ,29-009  ,1995       ,14 ,     10 , 821.0 , 9.1 , 1.0 ,0.11 ,3.0 , 0 , 3 , 0
Luis Ricardo Reyes           ,mx MEX  ,DF      ,Atlas       ,33-236  ,1991       ,17 ,     15 ,1374.0 ,15.3 , 1.0 ,0.07 ,1.0 , 0 , 2 , 0
Ángel Rico                   ,mx MEX  ,CC      ,UNAM        ,19-318  ,2005       ,12 ,      8 , 578.0 , 6.4 , 1.0 ,0.16 ,0.0 , 0 , 1 , 0
Martín Río                   ,ar ARG  ,"CC,DF" ,Querétaro   ,23-256  ,2001       ,11 ,      7 , 659.0 , 7.3 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Víctor Ríos                  ,mx MEX  ,CC      ,Atlas       ,20-288  ,2004       ,11 ,      5 , 474.0 , 5.3 , 1.0 ,0.19 ,0.0 , 0 , 1 , 0
Jesús Rivas                  ,mx MEX  ,DF      ,UNAM        ,22-027  ,2002       , 3 ,      1 , 141.0 , 1.6 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Ulises Rivas                 ,mx MEX  ,"CC,DF" ,UNAM        ,28-305  ,1996       ,15 ,      8 , 653.0 , 7.3 , 1.0 ,0.14 ,0.0 , 0 , 2 , 0
Christian Rivera             ,co COL  ,CC      ,Tijuana     ,28-316  ,1996       ,16 ,     13 ,1175.0 ,13.1 , 5.0 ,0.38 ,0.0 , 4 , 0 , 0
Ignacio Rivero               ,uy URU  ,"CC,DF" ,Cruz Azul   ,32-229  ,1992       ,16 ,     11 , 975.0 ,10.8 , 5.0 ,0.46 ,2.0 , 0 , 4 , 0
Ángel Robles                 ,mx MEX  ,"CC,DL" ,Puebla      ,23-007  ,2001       , 5 ,      1 ,  84.0 , 0.9 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Juan Robles                  ,mx MEX  ,"CC,DF" ,Querétaro   ,21-068  ,2003       ,10 ,      4 , 489.0 , 5.4 , 1.0 ,0.18 ,0.0 , 0 , 1 , 0
Aldo Rocha                   ,mx MEX  ,CC      ,Atlas       ,32-019  ,1992       ,16 ,     16 ,1268.0 ,14.1 , 1.0 ,0.07 ,0.0 , 0 , 2 , 0
Brian Rodríguez              ,uy URU  ,"DL,CC" ,América     ,24-189  ,2000       ,11 ,      8 , 791.0 , 8.8 , 4.0 ,0.46 ,3.0 , 0 , 0 , 0
Charly Rodríguez             ,mx MEX  ,CC      ,Cruz Azul   ,27-327  ,1997       ,17 ,     15 ,1310.0 ,14.6 , 0.0 ,0.00 ,6.0 , 0 , 2 , 0
David Rodriguez              ,us USA  ,CC      ,Atlético    ,22-204  ,2002       , 2 ,      0 ,  22.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Rodríguez              ,mx MEX  ,PO      ,Puebla      ,31-188  ,1993       , 4 ,      4 , 360.0 , 4.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jorge Rodríguez              ,mx MEX  ,"DF,CC" ,Puebla      ,23-083  ,2001       , 4 ,      2 , 193.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Lucas Rodríguez              ,ar ARG  ,CC      ,Querétaro   ,27-212  ,1997       ,16 ,     12 ,1044.0 ,11.6 , 1.0 ,0.09 ,1.0 , 0 , 1 , 0
Michell Rodríguez            ,mx MEX  ,"DL,DF" ,UNAM        ,24-107  ,2000       , 4 ,      0 ,  68.0 , 0.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Salvador Rodríguez           ,mx MEX  ,"DF,DL" ,Mazatlán    ,23-111  ,2001       , 4 ,      1 , 132.0 , 1.5 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Johan Rojas                  ,co COL  ,"CC,DL" ,Monterrey   ,22-066  ,2002       ,12 ,      2 , 437.0 , 4.9 , 2.0 ,0.41 ,1.0 , 0 , 2 , 0
Luis Romo                    ,mx MEX  ,"CC,DF" ,Cruz Azul   ,29-173  ,1995       ,16 ,     12 ,1082.0 ,12.0 , 0.0 ,0.00 ,4.0 , 0 , 2 , 0
Salomón Rondón               ,ve VEN  ,DL      ,Pachuca     ,35-070  ,1989       ,13 ,     10 , 919.0 ,10.2 , 5.0 ,0.49 ,2.0 , 0 , 1 , 1
Bryan Roque                  ,mx MEX  ,"CC,DL" ,Necaxa      ,20-035  ,2004       , 2 ,      0 ,  11.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Kevin Rosero                 ,co COL  ,"DL,CC" ,Necaxa      ,25-358  ,1998       ,14 ,      2 , 333.0 , 3.7 , 1.0 ,0.27 ,0.0 , 0 , 1 , 0
Franco Rossano               ,mx MEX  ,DF      ,América     ,19-121  ,2005       , 2 ,      0 ,   9.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Carlos Rotondi               ,ar ARG  ,"DF,DL" ,Cruz Azul   ,27-258  ,1997       ,17 ,     17 ,1368.0 ,15.2 , 7.0 ,0.46 ,4.0 , 4 , 2 , 0
Fernando Rubén González      ,mx MEX  ,CC      ,Guadalajara ,30-303  ,1994       ,15 ,     15 ,1264.0 ,14.0 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Rubio Rubin                  ,gt GUA  ,"DL,CC" ,Querétaro   ,28-269  ,1996       ,10 ,      4 , 423.0 , 4.7 , 3.0 ,0.64 ,0.0 , 0 , 0 , 0
Brian Rubio                  ,mx MEX  ,DL      ,Mazatlán    ,28-016  ,1996       ,16 ,      9 , 865.0 , 9.6 , 3.0 ,0.31 ,0.0 , 0 , 3 , 0
Marcel Ruiz                  ,mx MEX  ,CC      ,Toluca      ,24-030  ,2000       ,16 ,     16 ,1298.0 ,14.4 , 1.0 ,0.07 ,1.0 , 0 , 6 , 0
Franco Russo                 ,ar ARG  ,DF      ,Querétaro   ,30-031  ,1994       ,13 ,     13 ,1169.0 ,13.0 , 1.0 ,0.08 ,0.0 , 0 , 1 , 1
Jorge Ruvalcaba              ,mx MEX  ,"CC,DF" ,UNAM        ,23-125  ,2001       ,13 ,     10 , 798.0 , 8.9 , 2.0 ,0.23 ,1.0 , 0 , 1 , 0
Patricio Salas               ,mx MEX  ,DL      ,América     ,20-282  ,2004       , 1 ,      0 ,   4.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Carlos Salcedo               ,mx MEX  ,DF      ,FC Juárez   ,31-057  ,1993       ,12 ,     12 ,1059.0 ,11.8 , 1.0 ,0.08 ,1.0 , 0 , 4 , 1
José Saldívar                ,mx MEX  ,CC      ,Pachuca     ,21-240  ,2003       , 1 ,      0 ,   5.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Sebastien Salles-Lamonge     ,fr FRA  ,"CC,DL" ,Atlético    ,28-302  ,1996       ,17 ,     15 ,1262.0 ,14.0 , 5.0 ,0.36 ,1.0 , 2 , 0 , 0
Juan Sanabria                ,uy URU  ,"DF,CC" ,Atlético    ,24-241  ,2000       ,16 ,     15 ,1355.0 ,15.1 , 1.0 ,0.07 ,1.0 , 0 , 4 , 0
Andrés Sánchez               ,mx MEX  ,PO      ,Atlético    ,27-053  ,1997       ,16 ,     16 ,1440.0 ,16.0 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Carlos Sánchez               ,mx MEX  ,DF      ,Pachuca     ,22-226  ,2002       ,11 ,      6 , 538.0 , 6.0 , 1.0 ,0.17 ,2.0 , 0 , 1 , 0
Diego Sánchez                ,mx MEX  ,DL      ,UANL        ,19-227  ,2005       , 5 ,      4 , 221.0 , 2.5 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Erick Sánchez                ,mx MEX  ,"CC,DL" ,América     ,25-059  ,1999       ,14 ,      8 , 815.0 , 9.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Sánchez García         ,mx MEX  ,DF      ,Guadalajara ,35-086  ,1989       , 1 ,      0 ,  15.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Luis Sánchez                 ,mx MEX  ,DF      ,Mazatlán    ,24-206  ,2000       ,16 ,     14 ,1272.0 ,14.1 , 2.0 ,0.14 ,0.0 , 0 , 1 , 0
Richard Sánchez              ,py PAR  ,"CC,DF" ,América     ,28-241  ,1996       ,10 ,      8 , 616.0 , 6.8 , 0.0 ,0.00 ,1.0 , 0 , 0 , 1
Raúl Sandoval                ,mx MEX  ,"DF,DL" ,Necaxa      ,24-312  ,2000       , 6 ,      0 ,  63.0 , 0.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Anderson Santamaría          ,pe PER  ,DF      ,Santos      ,32-320  ,1992       ,12 ,     10 , 956.0 ,10.6 , 0.0 ,0.00 ,1.0 , 0 , 5 , 1
José Santiago Hernández      ,mx MEX  ,PO      ,Atlas       ,27-208  ,1997       , 3 ,      3 , 270.0 , 3.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Emilio Santillán             ,mx MEX  ,DF      ,Santos      ,21-078  ,2003       , 1 ,      1 ,  74.0 , 0.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Sebastian Santos             ,mx MEX  ,"DF,CC" ,León        ,21-309  ,2003       , 8 ,      7 , 633.0 , 7.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Francisco Sebastián Córdova  ,mx MEX  ,"DL,CC" ,UANL        ,27-166  ,1997       ,16 ,     12 , 908.0 ,10.1 , 1.0 ,0.10 ,4.0 , 0 , 2 , 0
