Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Maximiliano Araújo           ,uy URU  ,DL      ,Toluca      ,24-284  ,2000       , 2 ,      1 , 103.0 , 1.1 , 1.0 ,0.87 ,0.0 , 0 , 1 , 0
Néstor Araujo                ,mx MEX  ,DF      ,América     ,33-088  ,1991       ,13 ,     12 ,1029.0 ,11.4 , 0.0 ,0.00 ,2.0 , 0 , 1 , 0
Fernando Arce Jr.            ,us USA  ,CC      ,Necaxa      ,27-364  ,1996       ,15 ,     12 ,1036.0 ,11.5 , 2.0 ,0.17 ,0.0 , 0 , 5 , 0
Ramiro Árciga                ,mx MEX  ,"CC,DL" ,Mazatlán    ,20-087  ,2004       ,17 ,     11 , 953.0 ,10.6 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Gerardo Arteaga              ,mx MEX  ,DF      ,Monterrey   ,26-079  ,1998       ,13 ,     12 ,1064.0 ,11.8 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Víctor Arteaga               ,mx MEX  ,CC      ,Toluca      ,20-273  ,2004       ,15 ,      5 , 513.0 , 5.7 , 0.0 ,0.00 ,1.0 , 0 , 3 , 1
Ali Ávila                    ,mx MEX  ,DL      ,UNAM        ,21-063  ,2003       , 7 ,      0 , 122.0 , 1.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ettson Ayon                  ,mx MEX  ,DL      ,León        ,23-244  ,2001       , 7 ,      2 , 200.0 , 2.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Tomás Badaloni               ,ar ARG  ,DL      ,Necaxa      ,24-207  ,2000       ,13 ,      3 , 461.0 , 5.1 , 2.0 ,0.39 ,0.0 , 0 , 0 , 0
Claudio Baeza                ,cl CHI  ,"CC,DF" ,Toluca      ,30-338  ,1993       ,16 ,     12 ,1016.0 ,11.3 , 0.0 ,0.00 ,1.0 , 0 , 4 , 0
Kevin Balanta                ,co COL  ,DF      ,Tijuana     ,27-211  ,1997       , 9 ,      7 , 591.0 , 6.6 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Fidel Barajas                ,mx MEX  ,"CC,DL" ,Guadalajara ,18-234  ,2006       , 5 ,      0 ,  87.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Víctor Barajas               ,mx MEX  ,DF      ,León        ,21-257  ,2003       , 1 ,      0 ,   2.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 1
Diego Barbosa                ,mx MEX  ,DF      ,Tijuana     ,28-061  ,1996       , 6 ,      3 , 239.0 , 2.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jaine Barreiro               ,co COL  ,DF      ,León        ,30-159  ,1994       ,17 ,     17 ,1507.0 ,16.7 , 1.0 ,0.06 ,0.0 , 0 , 3 , 0
Pablo Barrera                ,mx MEX  ,"CC,DL" ,Querétaro   ,37-157  ,1987       ,17 ,     15 ,1287.0 ,14.3 , 1.0 ,0.07 ,0.0 , 0 , 1 , 0
Sergio Barreto               ,ar ARG  ,DF      ,Pachuca     ,25-219  ,1999       ,15 ,     15 ,1307.0 ,14.5 , 0.0 ,0.00 ,1.0 , 0 , 5 , 1
Abraham Bass                 ,mx MEX  ,CC      ,Atlas       ,23-108  ,2001       , 1 ,      0 ,  10.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Borja Bastón                 ,es ESP  ,DL      ,Pachuca     ,32-092  ,1992       , 7 ,      5 , 352.0 , 3.9 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Alán Bautista                ,mx MEX  ,"CC,DL" ,Pachuca     ,22-019  ,2002       ,10 ,      5 , 401.0 , 4.5 , 1.0 ,0.22 ,0.0 , 0 , 0 , 0
Paul Bellón                  ,mx MEX  ,DF      ,León        ,27-174  ,1997       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Fernando Beltrán             ,mx MEX  ,"CC,DL" ,Guadalajara ,26-201  ,1998       ,17 ,     15 ,1256.0 ,14.0 , 1.0 ,0.07 ,1.0 , 0 , 3 , 0
Nicolás Benedetti            ,co COL  ,CC      ,Mazatlán    ,27-214  ,1997       , 6 ,      2 , 243.0 , 2.7 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Darío Benedetto              ,ar ARG  ,DL      ,Querétaro   ,34-192  ,1990       , 8 ,      4 , 427.0 , 4.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Pablo Bennevendo Peña        ,mx MEX  ,DF      ,UNAM        ,24-327  ,2000       ,17 ,     16 ,1358.0 ,15.1 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Jorge Berlanga               ,mx MEX  ,DF      ,Pachuca     ,21-130  ,2003       , 7 ,      6 , 529.0 , 5.9 , 0.0 ,0.00 ,0.0 , 0 , 4 , 1
Germán Berterame             ,mx MEX  ,DL      ,Monterrey   ,26-012  ,1998       ,15 ,     15 ,1237.0 ,13.7 , 6.0 ,0.44 ,0.0 , 0 , 2 , 1
Unai Bilbao                  ,es ESP  ,DF      ,Tijuana     ,30-295  ,1994       ,15 ,     12 ,1096.0 ,12.2 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
