Player,Country,Position,Team,Age,Matches_Played,Minutes,Goals,Assists,Shots_on_Target,Yellow_Cards,Red_Cards
Gabriel Fernández,uy URU,"DL,CC",Cruz Azul,30.0,2.0,44.0,1.0,0.0,0.0,0.0,0.0
Rafael Fernández,mx MEX,DF,Tijuana,24.0,15.0,1046.0,0.0,0.0,0.0,3.0,0.0
Gustavo Ferrareis,br BRA,DF,Puebla,28.0,16.0,1414.0,1.0,0.0,0.0,5.0,0.0
Álvaro Fidalgo,es ESP,CC,América,27.0,15.0,1110.0,1.0,2.5,0.0,0.0,0.0
Iker Fimbres,mx MEX,CC,Monterrey,19.0,12.0,545.0,2.0,0.0,0.0,3.0,0.0
Leonardo Flores,mx MEX,"DL,CC",Atlas,21.0,7.0,110.0,0.0,0.0,0.0,1.0,0.0
Marcelo Flores,mx MEX,"DL,CC",UANL,21.0,13.0,383.0,2.0,0.0,0.0,1.0,0.0
Alexis Francisco Peña,mx MEX,DF,Necaxa,28.0,4.0,272.0,0.0,0.0,0.0,0.0,0.0
Ramiro Franco,mx MEX,DF,Mazatlán,21.0,8.0,365.0,0.0,0.0,0.0,2.0,0.0
Adonis Frías,ar ARG,"CC,DF",León,26.0,8.0,419.0,0.0,0.0,0.0,2.0,0.0
Raymundo Fulgencio,mx MEX,"DL,CC",Atlas,24.0,17.0,1053.0,1.0,2.5,0.0,2.0,0.0
Rogelio Funes Mori,mx MEX,DL,UNAM,33.0,15.0,608.0,1.0,1.0,0.0,2.0,0.0
Benjamín Galdames,mx MEX,"CC,DL",Atlético,23.0,12.0,239.0,0.0,0.0,0.0,1.0,0.0
Jesús Gallardo,mx MEX,"DF,CC",Toluca,30.0,16.0,1421.0,2.5,2.5,0.0,3.0,0.0
Bryan Gamboa,mx MEX,CC,Cruz Azul,22.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0
Aitor García,es ESP,"DL,CC",FC Juárez,30.0,13.0,422.0,1.0,1.0,0.0,0.0,0.0
Amaury García,mx MEX,"CC,DL",Cruz Azul,22.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0
Brian García,mx MEX,DF,Toluca,27.0,16.0,1174.0,1.0,1.0,0.0,2.0,0.0
Denzell García,mx MEX,CC,FC Juárez,21.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0
Gael García,mx MEX,DL,Guadalajara,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jorge García,mx MEX,CC,Cruz Azul,22.0,3.0,77.0,0.0,0.0,0.0,1.0,0.0
José García,mx MEX,DF,FC Juárez,28.0,8.0,606.0,2.0,0.0,0.0,1.0,0.0
Luan Garcia,br BRA,DF,Toluca,31.0,16.0,1395.0,1.0,0.0,0.0,2.0,0.0
Luis García,mx MEX,"CC,DL",Puebla,31.0,7.0,117.0,0.0,0.0,0.0,0.0,0.0
Mateo García,ar ARG,"CC,DL",Atlas,28.0,11.0,343.0,0.0,0.0,0.0,0.0,0.0
Bryan Garnica,mx MEX,"DL,DF",Necaxa,28.0,15.0,1002.0,0.0,0.0,0.0,1.0,0.0
César Garza,mx MEX,CC,Monterrey,19.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Jesús Garza,mx MEX,DF,UANL,24.0,8.0,277.0,0.0,1.0,0.0,2.0,0.0
Giorgos Giakoumakis,gr GRE,DL,Cruz Azul,29.0,13.0,661.0,2.5,2.5,0.0,3.0,0.0
André-Pierre Gignac,fr FRA,DL,UANL,38.0,16.0,1024.0,2.5,1.0,0.0,1.0,0.0
Faber Gil,co COL,"DL,CC",Pachuca,29.0,9.0,283.0,0.0,0.0,0.0,2.0,0.0
Alejandro Gómez,mx MEX,"DF,CC",Tijuana,22.0,11.0,839.0,0.0,0.0,0.0,0.0,0.0
Diego Gómez,mx MEX,CC,Necaxa,21.0,11.0,398.0,0.0,0.0,0.0,0.0,0.0
Emiliano Gómez,uy URU,"DL,CC",Puebla,23.0,10.0,792.0,2.5,0.0,0.0,0.0,0.0
Luis Gómez,mx MEX,"DF,DL",Santos,17.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0
Jaime Gómez Valencia,mx MEX,"CC,DF",Querétaro,31.0,10.0,227.0,0.0,0.0,0.0,1.0,0.0
Alfonso González,mx MEX,"CC,DL",Pachuca,30.0,10.0,364.0,2.0,0.0,0.0,1.0,0.0
Armando González,mx MEX,DL,Guadalajara,21.0,11.0,510.0,2.5,1.0,0.0,1.0,0.0
Bryan González,mx MEX,DF,Pachuca,21.0,16.0,1372.0,0.0,1.0,0.0,2.0,0.0
Pablo González Díaz,mx MEX,CC,Puebla,32.0,16.0,1195.0,0.0,0.0,0.0,2.0,0.0
Hugo González Durán,mx MEX,PO,Mazatlán,34.0,17.0,1485.0,0.0,0.0,0.0,2.0,0.0
Carlos González Espínola,py PAR,DL,Tijuana,31.0,11.0,580.0,2.0,0.0,0.0,2.0,0.0
Jair González,mx MEX,"CC,DL",Puebla,22.0,9.0,170.0,0.0,0.0,0.0,0.0,0.0
Jonathan González,mx MEX,CC,FC Juárez,25.0,11.0,501.0,0.0,1.0,0.0,1.0,0.0
Owen González,mx MEX,DL,Pachuca,21.0,16.0,895.0,1.0,2.0,0.0,2.0,0.0
Fernando Gorriarán,uy URU,CC,UANL,30.0,17.0,1433.0,2.0,0.0,0.0,2.0,0.0
Ismael Govea,mx MEX,DF,Santos,27.0,10.0,610.0,0.0,0.0,0.0,1.0,0.0
Omar Govea,mx MEX,CC,Guadalajara,28.0,10.0,335.0,0.0,0.0,0.0,1.0,0.0
Andrés Guardado,mx MEX,CC,León,38.0,13.0,842.0,1.0,1.0,0.0,3.0,0.0
Javier Güemez,mx MEX,CC,Atlético,33.0,16.0,901.0,1.0,2.5,0.0,1.0,0.0
Edgar Guerra,co COL,"DF,CC",León,23.0,15.0,855.0,0.0,1.0,0.0,1.0,0.0
Carlos Guillen,mx MEX,"CC,DL",Atlas,20.0,8.0,300.0,0.0,0.0,0.0,2.0,0.0
Daniel Guillén,mx MEX,DF,Atlético,23.0,6.0,418.0,1.0,0.0,0.0,2.0,0.0
Emanuel Gularte,uy URU,DF,Puebla,27.0,16.0,1418.0,1.0,0.0,0.0,1.0,0.0
Alexis Gutiérrez,mx MEX,CC,Cruz Azul,24.0,17.0,1138.0,2.5,2.5,0.0,0.0,0.0
Luis Gutiérrez Castellanos,mx MEX,CC,Santos,22.0,8.0,538.0,0.0,1.0,0.0,2.0,0.0
Edson Gutiérrez,mx MEX,DF,Monterrey,28.0,8.0,586.0,1.0,0.0,0.0,0.0,0.0
Erick Gutiérrez,mx MEX,CC,Guadalajara,29.0,15.0,1119.0,0.0,1.0,0.0,3.0,0.0
Ricardo Gutiérrez,mx MEX,PO,Mazatlán,27.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0
Nahuel Guzmán,ar ARG,PO,UANL,38.0,11.0,990.0,0.0,0.0,0.0,0.0,0.0
Víctor Guzmán,mx MEX,"DL,CC",Guadalajara,29.0,15.0,583.0,1.0,1.0,0.0,2.0,0.0
Víctor Guzmán,mx MEX,DF,Monterrey,22.0,15.0,1032.0,0.0,0.0,0.0,1.0,0.0
Helinho,br BRA,DL,Toluca,24.0,4.0,188.0,1.0,0.0,0.0,0.0,0.0
Diego Hernández,uy URU,"CC,DL",León,24.0,13.0,773.0,2.0,2.0,0.0,3.0,0.0
Illian Hernandez,mx MEX,"DL,DF",América,24.0,6.0,126.0,1.0,0.0,0.0,0.0,0.0
Javier Hernández,mx MEX,DL,Guadalajara,36.0,6.0,307.0,0.0,1.0,0.0,0.0,0.0
Jesús Hernández,mx MEX,"DL,CC",León,23.0,4.0,170.0,0.0,0.0,0.0,0.0,0.0
Pedro Hernández,mx MEX,CC,León,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sebastián Hernández,mx MEX,"CC,DL",Querétaro,20.0,8.0,396.0,0.0,0.0,0.0,3.0,0.0
Alberto Herrera,mx MEX,"CC,DL",Puebla,23.0,14.0,698.0,0.0,0.0,0.0,0.0,0.0
Ozziel Herrera,mx MEX,"DL,CC",UANL,23.0,16.0,724.0,2.5,0.0,0.0,2.0,0.0
Héctor Holguín,mx MEX,PO,Santos,23.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0
