Player                       ,Country ,Position ,Team        ,Age  ,Matches_Played ,Minutes ,Goals                 ,Assists               ,Shots_on_Target ,Yellow_Cards          ,Red_Cards
Guilherme Carvalho           ,br BRA  ,CC       ,FC Juárez   ,25.0 ,          12.0 ,  967.0 ,0.001034126163391934  ,0.002068252326783868  ,            0.0 ,0.002068252326783868  ,      0.0
Kevin Castañeda              ,mx MEX  ,"CC,DL"  ,Tijuana     ,25.0 ,          14.0 ,  896.0 ,0.0027901785714285715 ,0.0                   ,            0.0 ,0.002232142857142857  ,      0.0
Klever Castillo              ,mx MEX  ,DL       ,Toluca      ,19.0 ,           3.0 ,   70.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Moises Castillo              ,co COL  ,DF       ,FC Juárez   ,23.0 ,          10.0 ,  573.0 ,0.0                   ,0.0                   ,            0.0 ,0.0034904013961605585 ,      0.0
José Castillo Pérez          ,mx MEX  ,DF       ,Guadalajara ,22.0 ,          16.0 , 1385.0 ,0.0                   ,0.0007220216606498195 ,            0.0 ,0.0                   ,      0.0
Raúl Castillo                ,mx MEX  ,"CC,DL"  ,Puebla      ,22.0 ,          15.0 ,  785.0 ,0.0012738853503184713 ,0.0                   ,            0.0 ,0.003821656050955414  ,      0.0
Manuel Castro                ,uy URU  ,"CC,DL"  ,FC Juárez   ,29.0 ,           1.0 ,   90.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Lucas Cavallini              ,ca CAN  ,DL       ,Puebla      ,31.0 ,           4.0 ,  328.0 ,0.007621951219512195  ,0.0                   ,            0.0 ,0.003048780487804878  ,      0.0
Alan Cervantes               ,mx MEX  ,CC       ,Santos      ,26.0 ,           1.0 ,   90.0 ,0.0                   ,0.0                   ,            0.0 ,0.011111111111111112  ,      0.0
Alan Cervantes               ,mx MEX  ,CC       ,América     ,26.0 ,          12.0 ,  660.0 ,0.0015151515151515152 ,0.0                   ,            0.0 ,0.0                   ,      0.0
Luís Cervantes               ,mx MEX  ,DF       ,León        ,23.0 ,           1.0 ,   33.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Mateo Chávez                 ,mx MEX  ,DF       ,Guadalajara ,20.0 ,          12.0 ,  691.0 ,0.0                   ,0.002894356005788712  ,            0.0 ,0.001447178002894356  ,      0.0
Ricardo Chávez Soto          ,mx MEX  ,DF       ,Atlético    ,30.0 ,          17.0 , 1229.0 ,0.0008136696501220504 ,0.0016273393002441008 ,            0.0 ,0.0024410089503661514 ,      0.0
Ronaldo Cisneros             ,mx MEX  ,"DL,DF"  ,Querétaro   ,27.0 ,           9.0 ,  318.0 ,0.006289308176100629  ,0.0                   ,            0.0 ,0.0                   ,      0.0
Josué Colmán                 ,py PAR  ,"CC,DF"  ,Mazatlán    ,26.0 ,          15.0 ,  552.0 ,0.0036231884057971015 ,0.0                   ,            0.0 ,0.0                   ,      0.0
Bryan Colula                 ,mx MEX  ,"DF,CC"  ,Mazatlán    ,28.0 ,          16.0 , 1314.0 ,0.0                   ,0.0                   ,            0.0 ,0.0030441400304414    ,      0.0
Francisco Contreras          ,mx MEX  ,"DF,CC"  ,Tijuana     ,25.0 ,          10.0 ,  482.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Jesús Corona                 ,mx MEX  ,"CC,DL"  ,Monterrey   ,31.0 ,          14.0 ,  586.0 ,0.0017064846416382253 ,0.0017064846416382253 ,            0.0 ,0.0017064846416382253 ,      0.0
Joe Corona                   ,us USA  ,CC       ,Tijuana     ,34.0 ,          10.0 ,  554.0 ,0.0018050541516245488 ,0.0018050541516245488 ,            0.0 ,0.0036101083032490976 ,      0.0
José Corona                  ,mx MEX  ,PO       ,Tijuana     ,39.5 ,           8.0 ,  640.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Rogelio Cortéz Pineda        ,mx MEX  ,"DL,CC"  ,Necaxa      ,20.0 ,           7.0 ,  171.0 ,0.005847953216374269  ,0.0                   ,            0.0 ,0.0                   ,      0.0
