Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 36_level_0
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
31,Frankie Amaya,us USA,CC,Toluca,24-063,2000,12,2,335,3.7,0,2,2,0,0,0,1,0,0.1,0.1,1.0,1.1,8,22,12,0.00,0.54,0.54,0.00,0.54,0.04,0.27,0.31,0.04,0.31,Partidos
32,Fidel Ambríz,mx MEX,CC,Monterrey,21-252,2003,11,7,684,7.6,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,5,27,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
33,Fidel Ambríz,mx MEX,CC,León,21-252,2003,5,5,421,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,9,20,16,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Partidos
34,Bruno Amione,ar ARG,DF,Santos,22-330,2002,10,10,855,9.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,12,19,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
35,Esteban Andrada,ar ARG,PO,Monterrey,33-307,1991,16,16,1440,16.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
36,Alejandro Andrade,mx MEX,CC,Necaxa,23-104,2001,4,2,186,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,8,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
37,Luis Ángel Malagón,mx MEX,PO,América,27-271,1997,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
38,Brayan Angulo,co COL,DF,Puebla,35-026,1989,17,16,1432,15.9,0,2,2,0,0,0,1,0,0.5,0.5,0.6,1.1,28,69,42,0.00,0.13,0.13,0.00,0.13,0.03,0.04,0.07,0.03,0.07,Partidos
39,Jesús Angulo,mx MEX,"CC,DL",Toluca,27-282,1997,15,11,839,9.3,5,3,8,5,0,0,0,0,2.5,2.5,2.6,5.1,23,53,40,0.54,0.32,0.86,0.54,0.86,0.27,0.28,0.55,0.27,0.55,Partidos
40,José Antonio Rodríguez,mx MEX,PO,Tijuana,32-147,1992,10,10,890,9.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
41,Uriel Antuna,mx MEX,"DL,CC",Cruz Azul,27-099,1997,5,2,231,2.6,0,0,0,0,0,0,0,0,1.2,1.2,0.3,1.5,3,9,33,0.00,0.00,0.00,0.00,0.00,0.48,0.12,0.60,0.48,0.60,Partidos
42,Uriel Antuna,mx MEX,DL,UANL,27-099,1997,10,4,405,4.5,0,1,1,0,0,0,1,0,0.9,0.9,1.1,2.0,18,20,59,0.00,0.22,0.22,0.00,0.22,0.20,0.24,0.44,0.20,0.44,Partidos
43,Javier Aquino,mx MEX,DF,UANL,34-291,1990,16,15,1366,15.2,0,0,0,0,0,0,4,1,0.1,0.1,1.0,1.1,32,109,70,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Partidos
44,Pedro Aquino,pe PER,CC,Santos,29-229,1995,7,5,396,4.4,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,0,18,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
45,Diego Araujo,mx MEX,CC,Querétaro,21-284,2003,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
46,Maximiliano Araújo,uy URU,DL,Toluca,24-287,2000,2,1,103,1.1,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,2,2,8,0.87,0.00,0.87,0.87,0.87,0.46,0.06,0.52,0.46,0.52,Partidos
47,Néstor Araujo,mx MEX,DF,América,33-091,1991,13,12,1029,11.4,0,2,2,0,0,0,1,0,0.4,0.4,1.0,1.4,3,20,0,0.00,0.17,0.17,0.00,0.17,0.04,0.08,0.12,0.04,0.12,Partidos
48,Fernando Arce Jr.,us USA,CC,Necaxa,28-001,1996,15,12,1036,11.5,2,0,2,2,0,0,5,0,1.8,1.8,0.3,2.1,7,32,8,0.17,0.00,0.17,0.17,0.17,0.16,0.03,0.18,0.16,0.18,Partidos
49,Ramiro Árciga,mx MEX,"CC,DL",Mazatlán,20-090,2004,17,11,953,10.6,0,0,0,0,0,0,2,0,1.1,1.1,2.2,3.3,46,41,120,0.00,0.00,0.00,0.00,0.00,0.11,0.21,0.31,0.11,0.31,Partidos
50,Gerardo Arteaga,mx MEX,DF,Monterrey,26-082,1998,13,12,1064,11.8,0,0,0,0,0,0,2,0,0.4,0.4,0.9,1.4,23,52,71,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
51,Víctor Arteaga,mx MEX,CC,Toluca,20-276,2004,15,5,513,5.7,0,1,1,0,0,0,3,1,0.1,0.1,0.1,0.2,4,25,5,0.00,0.18,0.18,0.00,0.18,0.02,0.02,0.04,0.02,0.04,Partidos
52,Ali Ávila,mx MEX,DL,UNAM,21-066,2003,7,0,122,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,4,10,12,0.00,0.00,0.00,0.00,0.00,0.07,0.32,0.39,0.07,0.39,Partidos
53,Ettson Ayon,mx MEX,DL,León,23-247,2001,7,2,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
54,Tomás Badaloni,ar ARG,DL,Necaxa,24-210,2000,13,3,461,5.1,2,0,2,2,0,0,0,0,2.7,2.7,0.3,3.0,5,9,38,0.39,0.00,0.39,0.39,0.39,0.53,0.06,0.59,0.53,0.59,Partidos
